YGL150C YNL136W
YGR165W YKL003C
YDR495C YMR231W
YNR023W YPL129W
YGR009C YOL018C
YBR114W YPL046C
YBR202W YNL273W
YDL097C YOR362C
YML024W YOR096W
YBR097W YLR240W
YLR052W YNL059C
YGR108W YPR119W
YDR303C YPL129W
YOL148C YOR244W
YJL191W YNL096C
YDR116C YHR147C
YGL030W YGR034W
YML105C YPR088C
YKL122C YPL243W
YGR188C YMR117C
YLL036C YMR213W
YDR471W YHR141C
YBR119W YBR152W
YDR067C YNL032W
YFR002W YKL057C
YBR191W YGL147C
YGL070C YJL140W
YLR298C YOR159C
YGR179C YLR045C
YBR193C YCR042C
YDL147W YOR157C
YER074W YGR027C
YNL290W YOR217W
YBR084C-A YOR063W
YDR073W YNR010W
YDR318W YDR356W
YIL018W YMR242C
YDR471W YPL143W
YDR025W YNL178W
YKL068W YLR347C
YBL052C YGR005C
YDL195W YGL100W
YBR181C YCR031C
YBR036C YBR161W
YDL007W YOR117W
YMR142C YMR194W
YBR282W YDR237W
YDR013W YPR019W
YDR116C YNL284C
YJR113C YMR158W
YHR027C YPR108W
YOR373W YPL124W
YBL041W YDL097C
YOR151C YPR010C
YGR076C YMR225C
YDL002C YGL150C
YHR099W YMR005W
YKR002W YLR115W
YNL236W YPR168W
YBR198C YMR005W
YMR268C YPR082C
YDL083C YER131W
YDR416W YGR129W
YDL087C YHR086W
YDL030W YGR074W
YBR289W YMR005W
YFR050C YMR314W
YKL057C YMR129W
YOL120C YPL249C-A
YER172C YMR240C
YHL025W YMR112C
YBR198C YFL039C
YDR167W YGL252C
YER018C YKR037C
YBR152W YHR086W
YBL092W YFR032C-A
YGR179C YPR046W
YBR154C YJL140W
YMR024W YNL284C
YDL088C YKL068W
YDL136W YMR142C
YML015C YML098W
YKL041W YLR025W
YDL030W YOR159C
YLR344W YML073C
YGL092W YMR047C
YFL039C YJL081C
YGL129C YPR166C
YDL083C YMR230W
YDR054C YDR202C
YFL013C YNL107W
YER029C YLR147C
YBR198C YHR058C
YBL052C YLR071C
YEL037C YER021W
YAL034W-A YOR195W
YDL098C YER172C
YDL087C YPL213W
YBL026W YDR235W
YJL190C YOL040C
YOL135C YPR070W
YMR168C YPL018W
YNL252C YPL173W
YHR188C YLR459W
YJL041W YKL057C
YGR034W YLR325C
YGL141W YHR200W
YKL138C-A YLR045C
YBL090W YNL137C
YFL017W-A YIR005W
YER164W YGL244W
YBR152W YPL213W
YOR063W YPL131W
YJL061W YML031W
YOR157C YOR261C
YDR328C YLR097C
YER050C YGR084C
YDL105W YML023C
YGR274C YHL025W
YFR002W YPL020C
YBR193C YNL059C
YDR224C YOL146W
YFR009W YPR036W
YDR418W YIL018W
YER094C YMR314W
YDR159W YLR335W
YDR462W YLR439W
YDL005C YGR186W
YDR347W YGR084C
YGR135W YLR421C
YDR227W YKR101W
YIL111W YMR256C
YIL046W YOL133W
YLR344W YPL249C-A
YML114C YMR005W
YBR257W YNL221C
YFR032C-A YLR344W
YDR260C YOR249C
YJR075W YPL050C
YBR288C YPL195W
