p1,p2,score
YEL034W,YOL117W,0.53606884449893
YDL095W,YOR321W,0.980573054257265
YJR050W,YLR117C,0.999936253028728
YCL056C,YDL198C,0.703072689507346
YBR101C,YNL209W,0.660028449502134
YIL035C,YPR110C,0.852119274942154
YJL124C,YOR375C,0.932441633446612
YGR227W,YHR016C,0.576965202814132
YJL013C,YOR026W,0.999999929690046
YIL126W,YJR094C,0.660028449502134
YDR196C,YJL194W,0.89184320486415
YBL041W,YBR173C,0.53606884449893
YDR038C,YLL039C,0.784767882955442
YLR035C,YMR167W,0.999981621902841
YGL201C,YPL093W,0.605663741840526
YDR064W,YPL266W,0.889168054734813
YHR200W,YJL060W,0.53606884449893
YBR079C,YNL124W,0.584984984984985
YDR403W,YGL112C,0.669323604690042
YGR255C,YLR201C,0.660028449502134
YJL041W,YLR347C,0.997969623390587
YBR247C,YER074W,0.669323604690042
YMR242C,YPL198W,0.889168054734813
YBL016W,YMR120C,0.525804493017608
YCL027W,YKR023W,0.786182747552049
YBR234C,YKL129C,0.983625891140955
YML026C,YOR056C,0.54847104749512
YHR082C,YOR141C,0.525804493017608
YDR130C,YMR039C,0.660028449502134
YER031C,YOR326W,0.952602866449753
YLR166C,YNL272C,0.838787018252074
YJL109C,YNL075W,0.54847104749512
YBL002W,YPR010C,0.824118856508057
YER174C,YGL220W,0.976159707370379
YKR021W,YLL039C,0.900147115238577
YDL058W,YFL038C,0.660028449502134
YAL060W,YDR510W,0.53606884449893
YDL047W,YGR184C,0.852119274942154
YOL127W,YPR067W,0.836115707810694
YDL134C,YMR273C,0.985651702163765
YNL232W,YPR072W,0.660028449502134
YBR126C,YBR265W,0.873774047657518
YNL110C,YOR063W,0.948581607566691
YFR005C,YLL036C,0.823939570017432
YBR048W,YDR510W,0.53606884449893
YDR162C,YNL094W,0.884063875693871
YDR541C,YKL008C,0.703072689507346
YGL120C,YOR185C,0.53606884449893
YCL037C,YDL140C,0.884419344852077
YML063W,YPL198W,0.921706009057121
YIL133C,YLR325C,0.54847104749512
YFR004W,YHR108W,0.784767882955442
YBL004W,YDL075W,0.54847104749512
YGR054W,YOR063W,0.92396897095614
YGL147C,YNL061W,0.54847104749512
YGR200C,YOR151C,0.940144462637505
YDR510W,YGL137W,0.53606884449893
YHR089C,YOR063W,0.54847104749512
YNL252C,YPR125W,0.53606884449893
YGR124W,YHR027C,0.53606884449893
YBR079C,YPR041W,0.999937157367353
YDL159W,YIL113W,0.852119274942154
YDR328C,YJR123W,0.53606884449893
YOR039W,YOR303W,0.786182747552049
YNL290W,YOR217W,0.957795592557016
YLL039C,YOR063W,0.900147115238577
YDL014W,YMR242C,0.54847104749512
YGR148C,YKL009W,0.884419344852077
YJL066C,YKL049C,0.53606884449893
YGL031C,YGR285C,0.660028449502134
YFR037C,YGR275W,0.999691668843265
YLR197W,YPL266W,0.54847104749512
YNL069C,YOL039W,0.836115707810694
YDL083C,YHR141C,0.889168054734813
YBR048W,YDR471W,0.921706009057121
YLR347C,YMR308C,0.995318443299169
YDL029W,YFR004W,0.784767882955442
YER107C,YIL115C,0.867644617679496
YBR123C,YGL133W,0.861356321701401
YLR367W,YOR204W,0.54847104749512
YBL072C,YOL127W,0.836115707810694
YBR221C,YLL039C,0.53606884449893
YLR360W,YPL120W,0.999947780876521
YDR259C,YDR311W,0.67234615284868
YDL108W,YNL206C,0.525804493017608
YGR218W,YJR072C,0.660028449502134
YGR097W,YLR113W,0.852119274942154
YJL176C,YNL027W,0.54847104749512
YER021W,YFR004W,0.999998232463487
YER161C,YGR090W,0.852119274942154
YDL131W,YJL168C,0.579810484329307
YBL085W,YML109W,0.976288678753566
YBR194W,YNL172W,0.53606884449893
YGL066W,YMR314W,0.669323604690042
YKL203C,YOR326W,0.630229419703104
YDR299W,YDR466W,0.852119274942154
YBR112C,YGL071W,0.838787018252074
YDL140C,YOL018C,0.660028449502134
YLR048W,YNL255C,0.659447567015627
YNL107W,YPR023C,0.986043998680561
YBL050W,YKL173W,0.605663741840526
YCR053W,YLR314C,0.721967550772767
YBL026W,YDL030W,0.54847104749512
YCR028C-A,YLR332W,0.703072689507346
YER145C,YHR094C,0.703072689507346
YLR026C,YML115C,0.98853811963354
YIR010W,YLR340W,0.53606884449893
YDR064W,YDR299W,0.54847104749512
YCR031C,YGL147C,0.836115707810694
YLR029C,YOR063W,0.957795592557016
YDR190C,YER148W,0.990753815305093
YER146W,YLR438C-A,0.99896918970955
YMR188C,YOR158W,0.921706009057121
YBL007C,YIR003W,0.76163827339904
YDL160C,YER035W,0.788296958861137
YJR121W,YKL195W,0.584984984984985
YDR412W,YMR242C,0.53606884449893
YKL081W,YML064C,0.721967550772767
YDR471W,YGL103W,0.957795592557016
YJL019W,YOR294W,0.975075006960662
YGL129C,YNL137C,0.957795592557016
YDR293C,YNL201C,0.7468870303556
YDL134C,YMR028W,0.999999803031616
YCR077C,YDR389W,0.684036878315825
YLL034C,YOR093C,0.584984984984985
YER173W,YFR027W,0.85890670186545
YDL003W,YLR399C,0.53606884449893
YLR216C,YNL278W,0.721967550772767
YDL022W,YDR510W,0.53606884449893
YKL143W,YML121W,0.780005930512243
YLL036C,YPL213W,0.999018928947339
YBR111W-A,YDR216W,0.669323604690042
YLL034C,YPL211W,0.889168054734813
YHR030C,YPL240C,0.998476888753005
YHR010W,YLR075W,0.54847104749512
YDL031W,YLR106C,0.54847104749512
YEL034W,YNL209W,0.53606884449893
YDR062W,YKL104C,0.824118856508057
YML105C,YNL124W,0.584984984984985
YLR256W,YPL240C,0.878075522575274
YNL098C,YNL204C,0.605663741840526
YBL026W,YIL066C,0.684036878315825
YCR063W,YPR152C,0.773458368724612
YDR468C,YOL018C,0.999817609429934
YLL039C,YLR291C,0.53606884449893
YNR010W,YPR168W,0.99512198693761
YBR112C,YPL181W,0.838787018252074
YGL210W,YLR026C,0.823939570017432
YHR174W,YKL060C,0.957795592557016
YAL005C,YNL220W,0.890653121584812
YDR064W,YKL009W,0.732007051227404
YBR031W,YDR012W,0.921706009057121
YFL017W-A,YLR147C,0.971175843289377
YBR234C,YHR064C,0.721967550772767
Q0085,YOL027C,0.630229419703104
YDR041W,YDR175C,0.957795592557016
YER036C,YJL080C,0.842276605740035
YER133W,YOR178C,0.999989966264448
YKL148C,YOL071W,0.842276605740035
YMR116C,YOL127W,0.667047013899172
