From	To
P05067	hsa:351
Q60749	mmu:20218
P35872	ttj:TTHA0248
Q9H469	hsa:79176
P07257	sce:YPR191W
Q8TAU0	hsa:159296
B8YB57	sshi:J5U23_03022
F5HB26	vg:3077579
P04978	bpe:BP3784
Q6ICR9	hsa:3108
Q09163	mmu:13386
P13725	hsa:5008
P00756	mmu:18050
Q9WTW2	mmu:57442
P13631	hsa:5916
Q92985	hsa:3665
P55854	hsa:6612
P25942	hsa:958
P16410	hsa:1493
Q9UPT6	hsa:23162
P43004	hsa:6506
Q7Z6M1	hsa:10244
Q9Y5Y5	hsa:9409
P17676	hsa:1051
Q06265	hsa:5393
Q6ZP65	hsa:92558
P06213	hsa:3643
Q9BUQ8	hsa:9416
Q01831	hsa:7508
Q9BQY9	hsa:55861
Q9WU49	rno:260416
P33672	bta:533874
Q8DKP6	tel:tsr0813
P22004	hsa:654
A1Z6E0	dme:Dmel_CG2944
P10147	hsa:6348
Q3JQ80	bpm:BURPS1710b_2892
O43194	hsa:2863
Q32L40	bta:512043
P49177	ath:AT4G34460
B8YB54	sshi:J5U23_00032
O08785	mmu:12753
P45983	hsa:5599
P18847	hsa:467
P63165	hsa:7341
Q9FEG2	ath:AT4G21790
P39015	sce:YLR150W
Q72AS3	dvu:DVU_1918
P32241	hsa:7433
B9EKI3	mmu:232286
P02671	hsa:2243
Q8NHM5	hsa:84678
D3ZWB1	rno:364624
Q92890	hsa:7353
Q8VGC3	rno:116600
Q9UHR4	hsa:55971
P62314	hsa:6632
O75888	hsa:8741
P09326	hsa:962
P28241	sce:YOR136W
Q5R909	pon:100172964
P06685	rno:24211
P28061	tac:Ta0612
P43403	hsa:7535
O75558	hsa:8676
P38902	sce:YOL005C
O00238	hsa:658
P49763	hsa:5228
P22524	ecj:JW0906
P22524	eco:b0923
P62796	onl:100691120
P62796	onl:100693547
P62796	onl:100694299
P62796	onl:100694836
P62796	onl:100695624
P62796	onl:100700428
P62796	onl:100702755
P62796	onl:100702942
P62796	onl:100707512
P62796	onl:100711673
P62796	onl:100712429
P62796	onl:109198966
O27798	mth:MTH_1770
Q9WV48	rno:78957
Q01705	mmu:18128
P31273	hsa:3224
P23297	hsa:6271
P0C0W9	sce:YPR102C
P05740	sce:YKL180W
Q29983	hsa:100507436
P08107	hsa:3303
P08107	hsa:3304
Q09472	hsa:2033
Q31U64	sbo:SBO_3943
Q9Y294	hsa:25842
P13620	bta:282710
Q08879	mmu:14114
Q9NX02	hsa:55655
P0ABH9	ecj:JW0866
P0ABH9	eco:b0882
Q56223	ttj:TTHA0090
P14619	hsa:5592
Q9JJP9	rno:114590
P01375	hsa:7124
