Name	Accession	Name	Accession	Score
VPS4A	IPI00411356	CHMP4A	IPI00023068	4780.525
CGI-48	IPI00000733	CSNK2A1	IPI00016613	4746.475
ACTG1	IPI00021439	CREBBP	IPI00023339	4700.575
WAS	IPI00001545	SH3KBP1	IPI00294962	4688.35
MAPK3	IPI00018195	DUSP16	IPI00028428	4632.725
FLT1	IPI00018335	GNA11	IPI00305551	4632.125
SNRPD1	IPI00302850	LSM5	IPI00220493	4616.3
F2	IPI00019568	ITIH4	IPI00294193	4604.625
SP1	IPI00465152	CREBBP	IPI00023339	4595.05
HIST1H4A	IPI00453473	H3F3A	IPI00219038	4553.075
WASPIP	IPI00552369	HCK	IPI00029769	4539.45
PSMC3	IPI00018398	PSMC2	IPI00021435	4529.65
XPO1	IPI00298961	RANBP1	IPI00414127	4519.05
ORC2L	IPI00013216	CDC6	IPI00014575	4519.05
PSMC3	IPI00018398	PSMC4	IPI00020042	4469.275
TEC	IPI00000878	PPIA	IPI00419585	4353.65
SMAD3	IPI00024305	SMAD1	IPI00019549	4294.275
TAL2	IPI00002906	CREBBP	IPI00023339	4294.275
PTPN2	IPI00219695	STAT6	IPI00030782	4277.275
H3F3A	IPI00219038	PCAF	IPI00022055	4178.625
ACVR1B	IPI00005732	SMAD3	IPI00024305	4115.05
PLD2	IPI00024727	RAC2	IPI00010270	4105.1
SF3B1	IPI00026089	H3F3A	IPI00219038	4085.475
PCNA	IPI00021700	CSNK2A1	IPI00016613	4085.475
H3F3A	IPI00219038	HIST2H2BE	IPI00003935	4063.65
EIF2S2	IPI00021728	EIF2S3	IPI00297982	4009.625
RAN	IPI00643041	NUP153	IPI00514528	4009.625
MAPK3	IPI00018195	SMAD2	IPI00019548	3955.15
PLG	IPI00019580	SERPINA6	IPI00027482	3928.95
F10	IPI00019576	SERPING1	IPI00291866	3857.575
CCNB2	IPI00028266	CDC25A	IPI00220981	3846.9
PRKCA	IPI00385449	TEC	IPI00000878	3844.975
GRAP	IPI00013864	SH3KBP1	IPI00294962	3830.8
TGFBR1	IPI00005733	SMAD3	IPI00024305	3790.1
MAPK3	IPI00018195	SMAD3	IPI00024305	3722.075
XPO1	IPI00298961	PABPC4	IPI00012726	3714.925
TAF6	IPI00028579	TAF5	IPI00298925	3648.75
COPA	IPI00295857	LSM4	IPI00294955	3648.75
NUTF2	IPI00009901	KPNB1	IPI00001639	3648.75
TAF5	IPI00298925	TAF12	IPI00002806	3648.75
CSF1R	IPI00011218	JUP	IPI00554711	3620.425
PDGFRB	IPI00015902	PRKCE	IPI00024539	3620.425
KIT	IPI00022296	JUP	IPI00554711	3620.425
WASL	IPI00011676	SH3KBP1	IPI00294962	3574.6
SNAP23	IPI00010438	VAMP3	IPI00549343	3571.425
TGFBR1	IPI00005733	SMAD1	IPI00019549	3542
SKI	IPI00220921	SMAD3	IPI00024305	3528.3
STAT1	IPI00030781	STAT3	IPI00298887	3405.1
EIF4G3	IPI00646377	EIF4G2	IPI00015952	3351.15
WASPIP	IPI00552369	CRKL	IPI00004839	3351.15
WAS	IPI00001545	CRKL	IPI00004839	3351.15
CDK2	IPI00031681	MCM3	IPI00013214	3276.225
STAT1	IPI00030781	CREBBP	IPI00023339	3274.125
RAF1	IPI00021786	MAP2K1	IPI00219604	3263.375
TGFBR1	IPI00005733	SMAD2	IPI00019548	3262.275
SMAD3	IPI00024305	GCN5L2	IPI00306871	3203.75
STX11	IPI00026128	VAMP3	IPI00549343	3195.775
RPS6KA5	IPI00335101	MAP2K2	IPI00003783	3184.275
PRKAG1	IPI00413318	PRKAB1	IPI00220409	3164.9
