p1,p2,score
YNL085W,YOL133W,0.721967550772767
YIL115C,YOR160W,0.660028449502134
YBR191W,YML063W,0.54847104749512
YNL284C,YPL204W,0.873774047657518
YCR002C,YNL312W,0.852119274942154
YLR175W,YOR341W,0.53606884449893
YLR367W,YPR080W,0.630229419703104
YDR427W,YHR027C,0.998901168409581
YDR364C,YGR278W,0.921706009057121
YDL145C,YNL287W,0.999969145559815
YBR111W-A,YPL093W,0.669323604690042
YGR120C,YNL041C,0.999935123515861
YLL039C,YNL117W,0.53606884449893
YDR099W,YJR090C,0.815660413330478
YER149C,YLL021W,0.997355040707457
YDL082W,YPL211W,0.54847104749512
YDR129C,YLL039C,0.900147115238577
YNL052W,YOR231W,0.525804493017608
YLR093C,YLR268W,0.525804493017608
YGL004C,YLR421C,0.980924349436797
YHR186C,YML121W,0.660028449502134
YBR238C,YLL039C,0.53606884449893
YNL305C,YPL057C,0.660028449502134
YCR087C-A,YIR010W,0.53606884449893
YJR036C,YOL115W,0.80746160453379
YIR010W,YLR153C,0.53606884449893
YOR210W,YPR190C,0.921706009057121
YFR024C-A,YPR091C,0.599766159430406
YBL027W,YPL249C-A,0.790521651322224
YBL004W,YLR197W,0.921706009057121
YPL093W,YPL131W,0.984970008365648
YDL155W,YHR033W,0.852119274942154
YLL039C,YOL059W,0.784767882955442
YBR176W,YNL189W,0.67234615284868
YCL054W,YPL093W,0.889168054734813
YAR007C,YML069W,0.999925727114133
YBR198C,YDR523C,0.669323604690042
YCR072C,YLR009W,0.901590360954319
YDR027C,YLR262C,0.945192172634774
YEL043W,YGR089W,0.979357081778525
YKL185W,YNL097C,0.739334240942127
YBR188C,YKR086W,0.842276605740035
YCR002C,YJR076C,0.999999968074096
YDL229W,YPL212C,0.890653121584812
YHL033C,YIL018W,0.921706009057121
YDL053C,YNL255C,0.53606884449893
YLR378C,YML012W,0.703072689507346
YIL121W,YML072C,0.703072689507346
YDL123W,YPL145C,0.703072689507346
YDL126C,YDL190C,0.999999961621729
YER029C,YPL157W,0.525804493017608
YEL009C,YHR200W,0.965723728760879
YNL301C,YPL249C-A,0.836115707810694
YAR073W,YOR063W,0.54847104749512
YLL039C,YLR278C,0.53606884449893
YHL020C,YLL039C,0.53606884449893
YDR060W,YNL069C,0.54847104749512
YDR233C,YKR010C,0.53606884449893
YAL021C,YGR005C,0.660028449502134
YJR072C,YNL079C,0.53606884449893
YCR040W,YMR043W,0.525804493017608
YFR051C,YJL151C,0.703072689507346
YDR288W,YPL106C,0.704189581714012
YJL019W,YOR294W,0.975075006960662
YDR385W,YPL004C,0.583540098233307
YDR173C,YMR042W,0.975973865583009
YER074W,YFR032C-A,0.859922722080967
YDR163W,YER013W,0.53606884449893
YDR388W,YOR329C,0.576965202814132
YDR079C-A,YGR128C,0.53606884449893
YLL024C,YLR195C,0.890653121584812
YLL045C,YLR002C,0.836115707810694
YER025W,YPL237W,0.999983037547748
YGR060W,YPR028W,0.525943141173112
YER139C,YOL005C,0.784767882955442
YDR296W,YLR312W-A,0.836115707810694
YLL045C,YOL041C,0.935013786595579
YDR429C,YHL015W,0.660028449502134
YAR014C,YER167W,0.852119274942154
YDR477W,YLR003C,0.525804493017608
YFL039C,YOR367W,0.996794301586974
YCR057C,YDL148C,0.980506750731323
YBR207W,YGR163W,0.703072689507346
YNL131W,YPL240C,0.610333975634579
YOL133W,YPL036W,0.721967550772767
YJR039W,YMR021C,0.682167453566882
YDR130C,YER025W,0.660028449502134
YCL024W,YCL035C,0.525804493017608
YER151C,YOR078W,0.753242918792004
YLR079W,YPL256C,0.739343947114581
YHR185C,YMR016C,0.682167453566882
YOR078W,YPL217C,0.850690033607605
YKL019W,YOR380W,0.682167453566882
YHR200W,YMR230W,0.53606884449893
YCR088W,YPL115C,0.576965202814132
YOL041C,YPL141C,0.852119274942154
YER045C,YGL181W,0.605663741840526
YDL059C,YKL081W,0.852119274942154
YBR023C,YBR180W,0.703072689507346
YGR148C,YNL255C,0.659447567015627
YBR189W,YOL040C,0.836115707810694
YHR110W,YOR016C,0.501079807013215
YBR072W,YOL039W,0.913803986414008
YFR028C,YJR053W,0.955546579903359
YGL173C,YJR145C,0.859922722080967
YOR061W,YOR294W,0.852119274942154
YDR224C,YIL066C,0.721967550772767
YCL011C,YNL255C,0.659447567015627
YML010W,YPL266W,0.53606884449893
YHR081W,YNR024W,0.790521651322224
YKL012W,YLL018C,0.579810484329307
YCR089W,YKL195W,0.584984984984985
YCR075C,YPL246C,0.703072689507346
YBR196C,YHR027C,0.53606884449893
YIL018W,YIL133C,0.921706009057121
YDR436W,YPR005C,0.852119274942154
YIL035C,YPL043W,0.852119274942154
YDL192W,YHR200W,0.53606884449893
YBR098W,YDR386W,0.999997073735008
YGR270W,YML074C,0.669323604690042
YBR055C,YDL030W,0.957795592557016
YHR154W,YOL034W,0.970925334694004
YDR229W,YPL135W,0.682167453566882
YKL185W,YOL004W,0.973502883118779
YDL132W,YDR306C,0.945283699033493
YBR055C,YMR268C,0.836115707810694
YAR027W,YNL125C,0.501079807013215
YDR228C,YLR424W,0.846340558019861
YGR240C,YJL072C,0.584984984984985
YDR510W,YOR099W,0.53606884449893
YER151C,YPL061W,0.753242918792004
YJR066W,YNL135C,0.903385578590447
YDL014W,YJL190C,0.921706009057121
YDR156W,YOR224C,0.54847104749512
YER074W,YPL249C-A,0.859922722080967
YGL120C,YKL014C,0.784767882955442
YBR160W,YJL157C,0.997819043204744
YDR322C-A,YPR020W,0.884419344852077
YEL017C-A,YGR060W,0.525943141173112
YHL025W,YMR043W,0.660028449502134
YDR487C,YER151C,0.753242918792004
YBL026W,YGR091W,0.992577040558528
YCR015C,YGR163W,0.963229766660785
YNL183C,YPL077C,0.525804493017608
YDR145W,YGR252W,0.999998592974546
YER047C,YLR191W,0.576965202814132
YKL021C,YKR024C,0.53606884449893
YBR194W,YER006W,0.73161007532996
YNL263C,YOR132W,0.979964034607346
YCR077C,YER165W,0.790937035038668
YDR418W,YJR145C,0.54847104749512
YBR171W,YOR324C,0.660028449502134
YDR238C,YHR027C,0.53606884449893
YAL038W,YHL030W,0.53606884449893
YAL005C,YOR048C,0.890653121584812
YDR412W,YPL125W,0.53606884449893
YBL016W,YGL158W,0.963509383917804
YDR195W,YJL033W,0.824118856508057
YNL301C,YOR312C,0.889168054734813
YGR119C,YGR218W,0.847991172086717
YHL015W,YOL127W,0.54847104749512
YAL034W-A,YPL018W,0.945192172634774
YDR087C,YGR085C,0.859922722080967
YLR196W,YOR176W,0.721967550772767
YDR473C,YHR165C,0.99655625784908
YMR288W,YPR178W,0.921706009057121
YDR386W,YKL022C,0.852119274942154
YER131W,YHL033C,0.54847104749512
YIR010W,YML073C,0.53606884449893
YHL034C,YOL139C,0.986229563344419
