Method, GldStd, PPIN, Predicts, Refs, Precision, Recall, F1-score, F2-score, AUC-PR, MMR, Sensitivity, PPP, Accuracy, F-Match, Separation
CUBCO+,SGD,Collins,6996,306,0.6699542595769011,0.8300653594771242,0.7414647331874691,0.5321794786688651,0.5647567991530279,0.7712060505290109,0.8219414129810454,0.5798676900350044,0.6903747304829648,0.9313725490196079,0.13304277542018647
ClusterOne,SGD,Collins,99,306,0.8585858585858586,0.3300653594771242,0.47682523813491073,0.24519989432270137,0.24743318549129562,0.246078403023534,0.5025847214244687,0.5686839577329491,0.5346137563473078,0.42483660130718953,0.48801765231952354
P5COMP,SGD,Gavin,753,306,0.6440903054448871,0.5294117647058824,0.5811476501131673,0.3637348443814841,0.2591248104731686,0.4948530231646869,0.6668581275129236,0.5611670616113744,0.6117342690483267,0.6013071895424836,0.2538981766871781
PC2P,SGD,Gavin,125,306,0.736,0.35294117647058826,0.47709593777009507,0.25764294049008174,0.23615427347739323,0.2546452825896027,0.5002871912693854,0.5643756050338818,0.531366056747475,0.46078431372549017,0.5202506997595518
CUBCO+,SGD,Gavin,7020,306,0.6707977207977208,0.8300653594771242,0.7419810088851421,0.532312399517126,0.5386191064192787,0.7712060505290109,0.8225157955198162,0.580492803278951,0.6909880605933177,0.9313725490196079,0.13284874460118404
ClusterOne,SGD,Gavin,100,306,0.78,0.29411764705882354,0.42716319824753557,0.2187938288920056,0.23199382091715973,0.2162370250908,0.4549109707064905,0.5554484088717454,0.5026724329592993,0.39869281045751637,0.44933912479940413
P5COMP,SGD,KroganCore,764,306,0.7290575916230366,0.6045751633986928,0.6610067290606898,0.41485582003925314,0.28084434802594,0.5497747188847669,0.6990235496840896,0.5567760130621938,0.6238585937772195,0.6666666666666666,0.2863180892361917
PC2P,SGD,KroganCore,166,306,0.7289156626506024,0.434640522875817,0.544565511640498,0.31066368093895985,0.2762172865485024,0.34033851049081854,0.5163699023549684,0.5744493392070484,0.544635978607932,0.5392156862745098,0.561069916843581
CUBCO+,SGD,KroganCore,7025,306,0.6708896797153024,0.8300653594771242,0.742037261105436,0.5323268751028322,0.5495462464800497,0.7712060505290109,0.8225157955198162,0.5805981852806094,0.6910507783393649,0.9313725490196079,0.1328051372233666
ClusterOne,SGD,KroganCore,131,306,0.7557251908396947,0.3431372549019608,0.4719743921541919,0.2516568315932819,0.24033910811261677,0.26659751235867446,0.5043078690407812,0.529505582137161,0.5167531632924853,0.43790849673202614,0.44911097322516264
P5COMP,SGD,KroganExt,861,306,0.667828106852497,0.6241830065359477,0.6452683746522483,0.42070444291855685,0.2653658193981956,0.5733343537182666,0.7047673750717978,0.553981827899519,0.6248426351380165,0.696078431372549,0.27826032083355423
PC2P,SGD,KroganExt,183,306,0.639344262295082,0.4150326797385621,0.5033280829226158,0.29387246540190165,0.2517248953065345,0.3257731794383941,0.5215393452039058,0.5522138680033417,0.5366574877246929,0.5196078431372549,0.5339351679678357
CUBCO+,SGD,KroganExt,7032,306,0.6710750853242321,0.8300653594771242,0.7421506546771008,0.5323560507996826,0.5534874836756047,0.7712060505290109,0.8225157955198162,0.5808370783821389,0.6911929336971631,0.9313725490196079,0.13274175627502396
ClusterOne,SGD,KroganExt,136,306,0.7426470588235294,0.3464052287581699,0.47244163982172005,0.25347744249641896,0.2491059789672646,0.26781716171446235,0.5089029293509477,0.5270785659801678,0.5179110215330469,0.4411764705882353,0.4404450444465013
P5COMP,SGD,BIM,1106,306,0.6943942133815552,0.8496732026143791,0.7642258997872048,0.5460959934363463,0.3925519414254872,0.7994122760009033,0.8954623779437105,0.5776345874038662,0.7192009741506196,0.9084967320261438,0.33266444992304023
PC2P,SGD,BIM,194,306,0.7731958762886598,0.5294117647058824,0.6284916201117319,0.37251655629139074,0.30640084718477695,0.4181348642782811,0.7530155083285468,0.5658297611757501,0.6527469534507057,0.6503267973856209,0.5857031504967661
CUBCO+,SGD,BIM,7057,306,0.6722403287515941,0.8300653594771242,0.742862673705405,0.5325391197549653,0.6160519691622088,0.7712060505290109,0.8225157955198162,0.5816772464831415,0.6916926507682855,0.9313725490196079,0.13250413750709145
ClusterOne,SGD,BIM,151,306,0.7218543046357616,0.3627450980392157,0.48284944627357085,0.2636938718799549,0.2580537715557097,0.3021500318551352,0.8259620907524411,0.4801607232546459,0.6297575365778576,0.5947712418300654,0.4606308345424019
