From	To
P06104	sce:YGL058W
P40414	sce:YIL138C
P34162	sce:YHR041C
P47822	sce:YDR308C
P09734	sce:YML124C
P47124	sce:YJR075W
P46672	sce:YGL105W
P46655	sce:YGL245W
P39524	sce:YAL026C
P38328	sce:YBR234C
P32381	sce:YDL029W
P36006	sce:YKL129C
Q04439	sce:YMR109W
Q06681	sce:YDR326C
P36018	sce:YKR014C
P53169	sce:YGL060W
Q02574	sce:YLR288C
P33204	sce:YKL013C
P47122	sce:YJR072C
Q03750	sce:YML114C
P53829	sce:YNL288W
Q01389	sce:YJL095W
Q06708	sce:YLR386W
Q07623	sce:YDL213C
P36118	sce:YKR022C
P38874	sce:YHR187W
P46947	sce:YGL174W
Q05636	sce:YDR280W
O13565	sce:YLR358C
P26343	sce:YKR034W
Q05933	sce:YLR370C
Q08977	sce:YPL260W
Q02804	sce:YPL051W
P20438	sce:YPL256C
P22137	sce:YGL206C
Q12415	sce:YOR110W
P32325	sce:YDR052C
Q06160	sce:YLR313C
P26570	sce:YML016C
P80428	sce:YJL081C
P20050	sce:YIL072W
P40528	sce:YIL047C
P39678	sce:YDL056W
P39016	sce:YGL178W
P32389	sce:YNL103W
Q12041	sce:YDR253C
Q12518	sce:YDL161W
P30771	sce:YMR080C
P52891	sce:YDL116W
P11433	sce:YAL041W
P21268	sce:YJL157C
P22804	sce:YIL004C
P20606	sce:YPL218W
P25385	sce:YLR078C
P26449	sce:YOR026W
Q03758	sce:YML111W
P17106	sce:YJR060W
P33331	sce:YER009W
P32864	sce:YOR370C
P39958	sce:YER136W
P22214	sce:YLR268W
Q04338	sce:YMR197C
Q12255	sce:YLR093C
P25491	sce:YNL064C
P25655	sce:YCR093W
P06102	sce:YIL038C
P34909	sce:YER068W
P06242	sce:YDL108W
P02829	sce:YPL240C
P01120	sce:YNL098C
P10591	sce:YAL005C
P04821	sce:YLR310C
P09435	sce:YBL075C
P09119	sce:YJL194W
P24871	sce:YLR210W
P40075	sce:YER120W
P11927	sce:YNL188W
P38692	sce:YHR102W
P39935	sce:YGR162W
P04147	sce:YER165W
Q12514	sce:YPR072W
P07834	sce:YFL009W
Q06648	sce:YDR309C
Q00362	sce:YGL190C
P38826	sce:YHR118C
P52488	sce:YDR390C
O13297	sce:YPL228W
Q01159	sce:YGL130W
P49334	sce:YNL131W
Q03761	sce:YDR145W
P53731	sce:YNR035C
P27466	sce:YFR014C
P22517	sce:YOL016C
P07273	sce:YGL043W
P19524	sce:YOR326W
P38431	sce:YPR041W
P25302	sce:YER111C
P03965	sce:YJR109C
P47103	sce:YJR032W
P32561	sce:YNL330C
P31539	sce:YLL026W
P30822	sce:YGR218W
P49686	sce:YDR192C
P40477	sce:YIL115C
P21827	sce:YGL097W
P19880	sce:YML007W
P41920	sce:YDR002W
P18963	sce:YBR140C
P08678	sce:YJL005W
P22204	sce:YGR092W
P32562	sce:YMR001C
P26793	sce:YKL113C
P20437	sce:YMR199W
P13365	sce:YAL040C
P32501	sce:YDR211W
P09064	sce:YPL237W
P15705	sce:YOR027W
P38904	sce:YDR464W
